#auto generated file!
12.0;20;15;11;15;19;9;15;20;16
18.0;17;16;9;15;20;10;15;21;17
24.0;16;17;11;16;22;11;13;20;14
30.0;13;18;9;17;23;10;16;20;14
36.0;13;18;10;17;24;10;16;21;11
42.0;11;18;11;19;24;11;14;22;10
48.0;12;16;13;19;26;12;13;22;7
54.0;12;15;15;19;26;12;14;21;6
60.0;11;16;17;17;30;10;11;22;6
66.0;11;14;17;16;31;11;12;21;7
72.0;10;15;16;16;32;10;12;21;8
78.0;11;14;15;18;32;11;12;20;7
84.0;9;14;14;18;32;11;13;21;8
90.0;9;15;14;17;35;11;12;19;8
96.0;9;15;12;17;35;11;12;20;9
102.0;9;15;12;16;35;12;12;20;9
108.0;11;13;11;16;35;14;11;19;10
114.0;12;13;12;15;35;15;11;18;9
120.0;10;12;13;14;37;17;10;18;9
126.0;10;12;12;14;37;17;11;18;9
132.0;11;13;10;13;37;18;12;18;8
138.0;10;14;10;13;36;18;13;18;8
144.0;9;15;9;14;38;18;12;17;8
150.0;9;13;9;15;38;19;11;17;9
156.0;9;13;10;16;38;18;8;18;10
162.0;7;12;12;17;39;17;10;17;9
168.0;7;15;9;16;38;17;10;19;9
174.0;6;15;12;16;38;16;10;18;9
180.0;6;16;12;15;37;17;11;20;6
186.0;7;14;10;14;38;16;12;21;8
192.0;6;15;9;14;37;18;12;21;8
198.0;7;15;10;15;39;18;10;21;5
204.0;5;15;12;15;39;16;11;22;5
210.0;6;15;11;16;37;16;9;23;7
216.0;6;15;10;16;37;16;9;23;8
222.0;8;14;11;14;37;16;9;23;8
228.0;7;15;11;11;39;16;9;24;8
234.0;7;14;10;12;39;16;9;24;9
240.0;8;13;11;13;39;16;7;25;8
246.0;9;14;12;13;39;14;5;25;9
252.0;10;14;10;13;39;15;6;25;8
258.0;5;14;11;16;38;14;6;29;7
264.0;4;15;11;15;40;12;9;26;8
270.0;5;15;13;12;42;11;7;27;8
276.0;6;15;12;12;42;11;8;26;8
282.0;6;16;11;12;41;11;8;26;9
288.0;6;14;12;13;42;10;9;24;10
294.0;4;16;12;12;44;10;10;23;9
300.0;5;14;12;11;45;14;11;22;6
306.0;6;15;11;12;45;14;10;21;6
312.0;6;14;11;12;46;15;9;21;6
318.0;5;15;12;13;45;15;9;19;7
324.0;7;13;11;11;45;18;8;18;9
330.0;8;12;13;9;46;16;8;17;11
336.0;7;12;10;10;48;15;9;17;12
342.0;7;12;8;10;49;16;11;17;10
348.0;6;12;8;10;49;16;9;18;12
354.0;7;13;6;9;51;18;8;18;10
360.0;7;13;7;10;53;17;7;18;8
366.0;7;11;7;10;53;15;9;18;10
372.0;9;9;7;9;54;15;9;16;12
378.0;9;10;5;10;54;15;9;16;12
384.0;7;11;6;11;55;15;7;16;12
390.0;8;11;6;11;54;15;7;14;14
396.0;7;11;6;11;54;16;7;14;14
402.0;7;12;5;12;52;14;8;16;14
408.0;7;14;5;12;52;13;9;15;13
414.0;6;15;6;12;52;12;9;16;12
420.0;5;15;6;12;52;12;12;15;11
426.0;4;17;6;13;53;10;11;15;11
432.0;5;18;6;16;52;10;9;13;11
438.0;5;17;4;17;52;11;9;14;11
444.0;6;18;3;18;51;9;9;15;11
450.0;5;18;2;19;51;8;10;17;10
456.0;5;17;3;19;52;8;10;17;9
462.0;5;17;5;17;52;9;11;15;9
468.0;6;15;5;16;53;10;13;13;9
474.0;7;12;3;18;53;10;13;15;9
480.0;7;12;3;16;54;10;13;15;10
486.0;6;12;4;16;53;9;14;16;10
492.0;6;13;4;14;52;9;13;17;12
498.0;7;13;4;13;54;11;12;15;11
504.0;6;12;4;13;55;11;12;14;13
510.0;4;12;4;13;56;11;13;15;12
516.0;5;13;3;16;56;12;12;11;12
522.0;4;11;4;15;56;14;13;11;12
528.0;5;13;4;14;56;15;13;11;9
534.0;6;15;3;15;56;14;12;12;7
540.0;5;15;5;14;55;13;12;14;7
546.0;7;14;6;15;56;11;11;13;7
552.0;7;13;6;15;56;13;8;16;6
558.0;8;13;7;14;57;15;7;13;6
564.0;8;13;6;12;59;16;7;13;6
570.0;8;14;6;12;60;14;7;14;5
576.0;9;14;6;16;61;12;6;12;4
582.0;8;14;5;16;61;13;7;12;4
588.0;7;14;6;15;61;13;8;12;4
594.0;7;14;6;17;60;11;9;10;6
600.0;7;14;6;17;60;11;10;11;4
606.0;6;14;6;17;60;12;9;12;4
612.0;6;16;6;15;59;12;9;13;4
618.0;6;15;4;17;62;11;7;12;6
624.0;7;17;3;19;61;10;6;10;7
630.0;7;17;4;19;61;8;6;9;9
636.0;8;17;4;19;60;7;6;11;8
642.0;9;19;6;19;58;6;5;12;6
648.0;9;17;6;20;58;7;6;11;6
654.0;10;18;4;20;56;8;6;11;7
660.0;8;18;4;19;55;10;6;13;7
666.0;6;21;2;19;53;11;6;14;8
672.0;7;20;2;18;53;11;7;15;7
678.0;6;21;3;19;53;11;6;14;7
684.0;7;21;4;19;53;10;6;14;6
690.0;6;21;5;20;53;11;5;12;7
696.0;6;23;6;16;53;13;5;11;7
702.0;6;23;6;16;53;13;5;11;7
708.0;7;23;8;14;52;12;6;11;7
714.0;6;23;7;15;54;11;5;12;7
720.0;6;22;8;15;55;9;6;12;7
726.0;7;22;6;15;55;10;6;12;7
732.0;6;21;5;15;56;10;7;13;7
738.0;8;21;5;14;55;10;7;12;8
744.0;7;22;4;14;55;10;9;11;8
750.0;6;22;5;16;55;7;8;12;9
756.0;6;20;6;17;57;7;8;11;8
762.0;7;19;5;17;58;8;9;10;7
768.0;7;20;5;16;58;7;9;11;7
774.0;8;17;5;14;61;8;10;10;7
780.0;8;16;5;15;61;9;9;11;6
